"STATE/UT","CRIME HEAD","YEAR","Below 18 Years","Between 18-30 Years","Between 30-45 Years","Between 45-60 Years","Above 60 Years","Total"
"HIMACHAL PRADESH","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"JAMMU & KASHMIR","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"JHARKHAND","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"KARNATAKA","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"KERALA","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"MADHYA PRADESH","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"MAHARASHTRA","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"MANIPUR","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"MEGHALAYA","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"MIZORAM","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"NAGALAND","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"ORISSA","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"PUNJAB","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"RAJASTHAN","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"SIKKIM","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"TAMIL NADU","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"TRIPURA","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"UTTAR PRADESH","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"UTTARAKHAND","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"WEST BENGAL","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"TOTAL (STATES)","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"A & N ISLANDS","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"CHANDIGARH","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"D & N HAVELI","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"DAMAN & DIU","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"DELHI","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"LAKSHADWEEP","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"PUDUCHERRY","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"TOTAL (UTs)","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"ANDHRA PRADESH","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"ARUNACHAL PRADESH","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"ASSAM","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"BIHAR","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"CHHATTISGARH","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"GOA","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"GUJARAT","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"HARYANA","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"HIMACHAL PRADESH","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"JAMMU & KASHMIR","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"JHARKHAND","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"KARNATAKA","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"KERALA","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"MADHYA PRADESH","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"MAHARASHTRA","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"MANIPUR","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"MEGHALAYA","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"MIZORAM","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"NAGALAND","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"ORISSA","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"PUNJAB","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"RAJASTHAN","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"SIKKIM","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"TAMIL NADU","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,1,0,0,1
"TRIPURA","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"UTTAR PRADESH","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"UTTARAKHAND","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"WEST BENGAL","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"TOTAL (STATES)","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,1,0,0,1
"A & N ISLANDS","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"CHANDIGARH","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"D & N HAVELI","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"DAMAN & DIU","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"DELHI","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"LAKSHADWEEP","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"PUDUCHERRY","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"TOTAL (UTs)","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","UN-AUTHORISED ACCESS OR ATTEMPT TO ACCESS TO PROTECTED COMPUTER SYSTEM (SECTION 70 IT ACT)",2008,0,0,1,0,0,1
"ANDHRA PRADESH","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"ARUNACHAL PRADESH","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"ASSAM","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"BIHAR","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"CHHATTISGARH","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"GOA","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"GUJARAT","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"HARYANA","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"HIMACHAL PRADESH","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"JAMMU & KASHMIR","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"JHARKHAND","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"KARNATAKA","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"KERALA","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"MADHYA PRADESH","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"MAHARASHTRA","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"MANIPUR","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"MEGHALAYA","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"MIZORAM","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"NAGALAND","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"ORISSA","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"PUNJAB","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"RAJASTHAN","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"SIKKIM","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"TAMIL NADU","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"TRIPURA","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"UTTAR PRADESH","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"UTTARAKHAND","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"WEST BENGAL","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"TOTAL (STATES)","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"A & N ISLANDS","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"CHANDIGARH","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"D & N HAVELI","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"DAMAN & DIU","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"DELHI","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"LAKSHADWEEP","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"PUDUCHERRY","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"TOTAL (UTs)","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","OBTAINING LICENCE OR DIGITAL SIGNATURE CERTIFICATE BY MISREPRESENTATION OR SUPPRESSION OF FACT (SECTION 71 IT ACT)",2008,0,0,0,0,0,0
"ANDHRA PRADESH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"ARUNACHAL PRADESH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"ASSAM","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"BIHAR","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"CHHATTISGARH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"GOA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"GUJARAT","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"HARYANA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"HIMACHAL PRADESH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"JAMMU & KASHMIR","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"JHARKHAND","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"KARNATAKA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"KERALA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"MADHYA PRADESH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"MAHARASHTRA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"MANIPUR","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"MEGHALAYA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"MIZORAM","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"NAGALAND","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"ORISSA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"PUNJAB","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"RAJASTHAN","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"SIKKIM","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"TAMIL NADU","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"TRIPURA","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"UTTAR PRADESH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"UTTARAKHAND","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"WEST BENGAL","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"TOTAL (STATES)","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"A & N ISLANDS","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"CHANDIGARH","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"D & N HAVELI","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"DAMAN & DIU","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"DELHI","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"LAKSHADWEEP","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"PUDUCHERRY","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"TOTAL (UTs)","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","PUBLISHING FALSE DIGITAL SIGNATURE CERTIFICATE (SECTION 73 IT ACT)",2008,0,0,0,0,0,0
"ANDHRA PRADESH","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2008,0,0,0,0,0,0
"ARUNACHAL PRADESH","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2008,0,0,0,0,0,0
"ASSAM","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2008,0,0,0,0,0,0
"BIHAR","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2008,0,0,0,0,0,0
"CHHATTISGARH","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2008,0,0,0,0,0,0
"GOA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2008,0,0,0,0,0,0
"GUJARAT","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2008,0,0,0,0,0,0
"HARYANA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2008,0,0,0,0,0,0
"HIMACHAL PRADESH","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2008,0,0,0,0,0,0
"JAMMU & KASHMIR","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2008,0,0,0,0,0,0
"JHARKHAND","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2008,0,0,0,0,0,0
"KARNATAKA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2008,0,0,0,0,0,0
"KERALA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2008,0,0,0,0,0,0
"MADHYA PRADESH","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2008,0,0,0,0,0,0
"MAHARASHTRA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2008,0,0,0,0,0,0
"MANIPUR","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2008,0,0,0,0,0,0
"MEGHALAYA","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2008,0,0,0,0,0,0
"MIZORAM","FRAUD DIGITAL SIGNATURE CERTIFICATE (SECTION 74 IT ACT)",2008,0,0,0,0,0,0
